company_name,openfda_substance_name,openfda_pharm_class_pe,initial_posting_date,update_type,openfda_route,generic_name,openfda_rxcui,related_info_link,openfda_spl_set_id,update_date,openfda_product_type,discontinued_date,therapeutic_category,openfda_brand_name,openfda_product_ndc,openfda_manufacturer_name,openfda_spl_id,openfda_package_ndc,presentation,dosage_form,availability,openfda_nui,openfda_application_number,openfda_pharm_class_cs,openfda_generic_name,openfda_pharm_class_epc,resolved_note,status,shortage_reason,related_info,change_date,openfda_unii,package_ndc,contact_info,openfda_pharm_class_moa
"American Regent, Inc.",ATROPINE SULFATE,,01/01/2012,Reverified,INTRAVENOUS,Atropine Sulfate Injection,"1190795, 1666781",,6fee1727-52b7-4f73-ab45-ef47d6a1c5bb,08/19/2025,HUMAN PRESCRIPTION DRUG,,"Anesthesia, Neurology, Pediatric",ATROPINE SULFATE,"0517-1004, 0517-1001","American Regent, Inc.",1c500ed9-94a9-472c-bfb7-50e1fcfc31fb,"0517-1004-01, 0517-1004-25, 0517-1001-01, 0517-1001-25","Atropine Sulfate, Injection, .4 mg/1 mL (NDC 0517-1004-25)",Injection,Available,,ANDA216120,,ATROPINE SULFATE,,,Current,,old NDC 0517-0401-25,,03J5ZE7KA5,0517-1004-25,800-645-1706,
"Upsher-Smith Laboratories, LLC",AMANTADINE HYDROCHLORIDE,,07/23/2025,New,ORAL,Amantadine Hydrochloride Tablet,849395,,63d9d4aa-5f92-45b0-98d0-d6ec38b727cb,07/23/2025,HUMAN PRESCRIPTION DRUG,07/23/2025,"Antiviral, Neurology",AMANTADINE HYDROCHLORIDE,0832-0111,"Upsher-Smith Laboratories, LLC",395d9ef2-7ea2-c602-e063-6394a90a6ef0,"0832-0111-00, 0832-0111-50, 0832-0111-89, 0832-0111-03","Amantadine Hydrochloride, Tablet, 100 mg (NDC 0832-0111-50)",Tablet,,,ANDA076186,,AMANTADINE HYDROCHLORIDE,,,To Be Discontinued,,Discontinuation of the manufacture of the drug product,,M6Q1EO9TD0,0832-0111-50,763-315-2000,
"Prinston Pharmaceutical, Inc.",CLONAZEPAM,,03/10/2023,Reverified,ORAL,Clonazepam Tablet,"197527, 197528, 197529",,4acbb7a9-4db5-4497-b8db-9f358b3f6fb4,08/19/2025,HUMAN PRESCRIPTION DRUG,,"Neurology, Pediatric, Psychiatry",CLONAZEPAM,"43547-406, 43547-407, 43547-408",Solco Healthcare LLC,dc17b9d4-2890-4f6c-8476-daa39d0cbc9c,"43547-406-10, 43547-406-50, 43547-406-11, 43547-407-10, 43547-407-50, 43547-407-11, 43547-408-10, 43547-408-50","Clonazepam, Tablet, .5 mg (NDC 43547-406-11)",Tablet,Available,"N0000175694, M0002356",ANDA077856,Benzodiazepines [CS],CLONAZEPAM,Benzodiazepine [EPC],,Current,,Marketed by Solco Healthcare,,5PE9FDE8GB,43547-406-11,"For orders, Solco Healthcare 866-931-9829",
"Fresenius Kabi USA, LLC",LIDOCAINE HYDROCHLORIDE ANHYDROUS,,02/22/2012,Reverified,"EPIDURAL, INFILTRATION, INTRACAUDAL, PERINEURAL",Lidocaine Hydrochloride Injection,"1737562, 1737563, 1737566, 1737567, 1737568, 1737569, 1737570, 1737571, 1737636, 1737637, 1737640, 1737641, 1737763, 1737764",,d5e0d06f-ba1e-44d4-aa89-39d6c146dc23,09/18/2025,HUMAN PRESCRIPTION DRUG,,"Anesthesia, Pediatric",XYLOCAINE MPF,"63323-493, 63323-492, 63323-496","Fresenius Kabi USA, LLC",fa12a8e8-09fd-496f-8cc6-ffe0eb02e2df,"63323-492-08, 63323-492-97, 63323-493-03, 63323-493-97, 63323-493-01, 63323-493-91, 63323-496-03, 63323-496-97","Xylocaine, Injection, 15 mg/1 mL (NDC 63323-493-91)",Injection,Unavailable,,NDA006488,,LIDOCAINE HYDROCHLORIDE,,,Current,Demand increase for the drug,Next release not available at this time.,,EC2CNF7XFP,63323-493-91,888-386-1300,
Amneal Pharmaceuticals,METHYLPREDNISOLONE ACETATE,,12/15/2021,Reverified,"INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, SOFT TISSUE",Methylprednisolone Acetate Injection,"1743779, 1743855",,d944240d-2c19-46ba-ad4f-3fbee7b8629c,09/17/2025,HUMAN PRESCRIPTION DRUG,,Rheumatology,METHYLPREDNISOLONE ACETATE,"70121-1574, 70121-1573",Amneal Pharmaceuticals LLC,0bdaa3cf-cf32-4959-b87a-65215ac4648d,"70121-1573-1, 70121-1573-5, 70121-1574-1, 70121-1574-5","Methylprednisolone Acetate, Injection, 80 mg/1 mL (NDC 70121-1574-5)",Injection,Available,,ANDA210043,,METHYLPREDNISOLONE ACETATE,,,Current,,,,43502P7F0P,70121-1574-5,866-525-7270,
Pfizer Inc.,METHYLPREDNISOLONE SODIUM SUCCINATE,,10/10/2024,New,"INTRAMUSCULAR, INTRAVENOUS",Methylprednisolone Sodium Succinate Injection,"207191, 207193, 311659, 314099, 1357886, 1357888, 1743704, 1743707, 1743720, 1743722, 1743726, 1743729",,"cd99be87-c8d9-48d6-a8e5-e081052e3f19, 7271310c-7764-4812-aa30-a5e90987c7a9",10/10/2024,HUMAN PRESCRIPTION DRUG,10/10/2024,Rheumatology,SOLU-MEDROL,"0009-0698, 0009-0758, 0009-0039, 0009-0047, 0009-0003, 0009-0018, 0009-0850",Pharmacia & Upjohn Company LLC,"7b47ae23-e487-4679-95c9-561052ecc1a1, 7ab2f4a2-6651-49e8-bc69-0c9c65e38cef","0009-0758-01, 0009-0698-01, 0009-0039-30, 0009-0039-28, 0009-0039-33, 0009-0039-32, 0009-0047-25, 0009-0047-22, 0009-0047-27, 0009-0047-26, 0009-0003-02, 0009-0018-20, 0009-0850-01, 0009-0698-02, 0009-0039-06, 0009-0047-04","Solu-Medrol, Injection, 1 g/1 mL (NDC 0009-0698-02)",Injection,,,NDA011856,,METHYLPREDNISOLONE SODIUM SUCCINATE,,,To Be Discontinued,,,,LEC9GKY20K,0009-0698-02,844-646-4398,
Baxter Healthcare,SODIUM CHLORIDE,,12/10/2021,Revised,INTRAVENOUS,Sodium Chloride 0.9% Injection,"1807631, 1807632, 1807633, 1807634, 1807639",,958d35f0-6834-43be-a700-fa58f38b4c19,08/08/2025,HUMAN PRESCRIPTION DRUG,,"Gastroenterology, Other, Pediatric",SODIUM CHLORIDE,"0338-9543, 0338-9657, 0338-9659, 0338-9661, 0338-9663",Baxter Healthcare Corporation,6680afa2-1474-4bc3-afee-a333a042fd3f,"0338-9543-01, 0338-9543-02, 0338-9543-03, 0338-9543-04, 0338-9543-05, 0338-9543-06, 0338-9543-12, 0338-9657-75, 0338-9659-75, 0338-9661-60, 0338-9663-60","Sodium Chloride 0.9% In Plastic Container, Injection, 9 g/1000 mL (NDC 0338-9543-04)",Injection,,,NDA016677,,SODIUM CHLORIDE,,Available,Resolved,,,08/08/2025,451W47IQ8X,0338-9543-04,888-229-0001,
Aurobindo Pharma USA,"AMLODIPINE BESYLATE, BENAZEPRIL HYDROCHLORIDE",,03/04/2025,New,ORAL,Amlodipine Besylate; Benazepril Hydrochloride Capsule,"898342, 898346, 898350, 898353, 898356, 898359",,99ed4927-9a34-4e8d-8eea-60b63c867d46,03/04/2025,HUMAN PRESCRIPTION DRUG,03/04/2025,Cardiovascular,AMLODIPINE AND BENAZEPRIL HYDROCHLORIDE,"65862-585, 65862-582, 65862-583, 65862-584, 65862-586, 65862-587",Aurobindo Pharma Limited,a45ec3e8-1d14-4c27-9685-976323df8cad,"65862-582-01, 65862-582-05, 65862-583-01, 65862-583-05, 65862-584-01, 65862-584-05, 65862-585-01, 65862-585-05, 65862-586-01, 65862-586-05, 65862-587-01, 65862-587-05","Amlodipine Besylate; Benazepril Hydrochloride, Capsule, 5 mg; 40 mg (NDC 65862-585-05)",Capsule,,,ANDA202239,,AMLODIPINE AND BENAZEPRIL HYDROCHLORIDE,,,To Be Discontinued,,,,"864V2Q084H, N1SN99T69T",65862-585-05,866-850-2876,
"Hospira, Inc., a Pfizer Company",METHOTREXATE SODIUM,,01/08/2025,New,"INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, SUBCUTANEOUS",Methotrexate Sodium Injection,"1655956, 1946772",,bd287e89-32f9-4396-95fa-4b562869f476,01/08/2025,HUMAN PRESCRIPTION DRUG,01/08/2025,"Oncology, Rheumatology",METHOTREXATE,"61703-161, 61703-124","Hospira, Inc.",6bb8643f-6ab4-4e1c-bcf9-b82e8cf18910,"61703-124-40, 61703-161-02, 61703-161-05","Injection, 25 mg/1 mL (NDC 61703-161-05)",Injection,,,NDA011719,,METHOTREXATE,,,To Be Discontinued,,Discontinuation of the manufacture of the drug,,3IG1E710ZN,61703-161-05,844-646-4398,
"Hikma Pharmaceuticals USA, Inc.",MIDAZOLAM HYDROCHLORIDE,,04/02/2020,Reverified,"INTRAMUSCULAR, INTRAVENOUS",Midazolam Hydrochloride Injection,"311700, 311702",,575d8bf0-7af7-427c-a231-966e2a5e070d,07/23/2025,HUMAN PRESCRIPTION DRUG,,"Anesthesia, Neurology",MIDAZOLAM,"0641-6060, 0641-6057, 0641-6059, 0641-6056, 0641-6061, 0641-6063",Hikma Pharmaceuticals USA Inc.,559c03fb-24ea-4b7b-8afd-e33cb3a2340a,"0641-6057-01, 0641-6057-10, 0641-6057-25, 0641-6059-01, 0641-6059-10, 0641-6056-01, 0641-6056-10, 0641-6061-01, 0641-6061-10, 0641-6061-25, 0641-6063-01, 0641-6063-10, 0641-6063-25, 0641-6060-01, 0641-6060-10","Midazolam Hydrochloride, Injection, 5 mg/1 mL (NDC 0641-6060-10)",Injection,Available,,ANDA075243,,MIDAZOLAM,,,Current,,Additional lots are scheduled to be manufactured.  Product will be made available as it is released.,,W7TTW573JJ,0641-6060-10,800-631-2174,
"Teva Pharmaceuticals USA, Inc.",,,01/06/2025,New,,Cisatracurium Besylate Injection,,,,01/06/2025,,01/06/2025,Anesthesia,,,,,,"CISATRACURIUM BESYLATE PRESERVATIVE FREE, Injection, 200 mg/20 mL (NDC 0703-2045-03)",Injection,,,,,,,,To Be Discontinued,,,,,0703-2045-03,800-545-8800,
Pfizer Inc.,CLINDAMYCIN PHOSPHATE,,03/21/2023,Revised,"INTRAMUSCULAR, INTRAVENOUS",Clindamycin Phosphate Injection,"205964, 309335, 309336, 309339, 685574, 685576, 685578, 706461, 1737244, 1737245, 1737578, 1737579, 1737581, 1737582",,05a75685-0af5-407c-ac57-e380c882b49d,08/15/2025,HUMAN PRESCRIPTION DRUG,,Anti-Infective,CLEOCIN PHOSPHATE,"0009-0775, 0009-0870, 0009-0902, 0009-0728, 0009-3124, 0009-3447, 0009-3381, 0009-3375, 0009-3382, 0009-6582",Pharmacia & Upjohn Company LLC,ac3ba828-3240-4b06-8741-5d1b58e313da,"0009-0870-21, 0009-0870-26, 0009-0775-20, 0009-0775-26, 0009-0902-11, 0009-0902-18, 0009-0728-05, 0009-0728-09, 0009-3124-01, 0009-3124-03, 0009-3447-01, 0009-3447-03, 0009-3381-01, 0009-3381-02, 0009-3375-01, 0009-3375-02, 0009-3382-01, 0009-3382-02, 0009-6582-02, 0009-6582-01","Cleocin Phosphate, Injection, Cleocin Phosphate 600 mg/4 mL (150 mg/mL) (NDC 0009-0775-26)",Injection,Unavailable,,NDA050441,,CLINDAMYCIN PHOSPHATE,,,Current,Other,Next Delivery and Estimated Recovery: December 2025,,EH6D7113I8,0009-0775-26,800-533-4535,
"Hospira, Inc., a Pfizer Company",DOBUTAMINE HYDROCHLORIDE,,11/06/2017,Revised,INTRAVENOUS,Dobutamine Hydrochloride Injection,"309985, 309986, 309987",,9943a961-3b50-4847-8a84-d8414ce38daa,08/15/2025,HUMAN PRESCRIPTION DRUG,,"Cardiovascular, Pediatric, Renal",DOBUTAMINE IN DEXTROSE,"0409-2347, 0409-2346, 0409-3724","Hospira, Inc.",2cd41f69-c1ea-44a0-9b56-b6f9d963f6a5,"0409-2347-31, 0409-2347-32, 0409-2346-31, 0409-2346-32, 0409-3724-11, 0409-3724-32","Dobutamine Hydrochloride In Dextrose 5% In Plastic Container, Injection, 500 mg/250mL (200 mg/mL) (NDC 0409-2347-32)",Injection,Unavailable,,NDA020201,,DOBUTAMINE IN DEXTROSE,,,Current,Demand increase for the drug,Next Delivery: November 2025; Estimated Recovery: December 2025,12/19/2024,0WR771DJXV,0409-2347-32,844-646-4398,
"Teva Pharmaceuticals USA, Inc.","ETHINYL ESTRADIOL, ETONOGESTREL",,06/16/2025,New,VAGINAL,Ethinyl Estradiol; Etonogestrel Ring,1367436,,a8cc104a-d522-49ad-af54-2f312b829b61,06/16/2025,HUMAN PRESCRIPTION DRUG,06/16/2025,Reproductive,ETONOGESTREL AND ETHINYL ESTRADIOL,0093-7679,"Teva Pharmaceuticals USA, Inc.",d0827dbf-9df5-4438-a0c2-92d7d593e71c,"0093-7679-01, 0093-7679-02","Ethinyl Estradiol; Etonogestrel, Ring, .015 mg/1 d; .12 mg/1 d (NDC 0093-7679-02)",Ring,,"N0000175825, N0000000100, M0447349, N0000175602",ANDA204305,Progesterone Congeners [CS],ETONOGESTREL AND ETHINYL ESTRADIOL,"Estrogen [EPC], Progestin [EPC]",,To Be Discontinued,,Discontinuation of the manufacture of the drug,,"423D2T571U, 304GTH6RNH",0093-7679-02,800-545-8800,Estrogen Receptor Agonists [MoA]
"Fresenius Kabi USA, LLC",LEUCOVORIN CALCIUM,,03/23/2018,Revised,"INTRAMUSCULAR, INTRAVENOUS",Leucovorin Calcium Injection,"2099993, 2104714",,"d5d4f0fd-7520-43a9-9acc-f7e117e1f6ee, 4b72d1fd-f389-45d9-b43b-510b45c92263",07/08/2025,HUMAN PRESCRIPTION DRUG,,"Oncology, Pediatric",LEUCOVORIN CALCIUM,63323-631,"Fresenius Kabi USA, LLC","d1c72e5d-c25e-4b9c-b3dc-a8d0b746db3f, a0d41f71-6197-4c9a-8cd2-217945cb722b","63323-631-10, 63323-631-50","Leucovorin Calcium, Injection, 10 mg/1 mL (NDC 63323-631-50)",Injection,,,"ANDA207241, ANDA207226",,LEUCOVORIN CALCIUM,,Available,Resolved,,,07/08/2025,RPR1R4C0P4,63323-631-50,888-386-1300,
Baxter Healthcare,SODIUM CHLORIDE,,12/10/2021,Revised,INTRAVENOUS,Sodium Chloride 0.9% Injection,"1807631, 1807632",,aeaed9cb-b629-4019-88d2-a916179427de,08/08/2025,HUMAN PRESCRIPTION DRUG,,"Gastroenterology, Other, Pediatric",SODIUM CHLORIDE,"0338-9159, 0338-9151",Baxter Healthcare Corporation,39f15dfb-4e73-4959-ad9b-4ee502278b4b,"0338-9159-30, 0338-9151-30","Sodium Chloride 0.9% In Plastic Container, Injection, 900 mg/100 mL (NDC 0338-9159-30)",Injection,,,NDA020178,,SODIUM CHLORIDE,,Available,Resolved,,,08/08/2025,451W47IQ8X,0338-9159-30,888-229-0001,
"Teva Pharmaceuticals USA, Inc.",,,01/06/2025,New,,Cisatracurium Besylate Injection,,,,01/06/2025,,01/06/2025,Anesthesia,,,,,,"Injection, 20 mg/10 mL (NDC 0703-2056-03)",Injection,,,,,,,,To Be Discontinued,,,,,0703-2056-03,800-545-8800,
Aurobindo Pharma USA,"AMLODIPINE BESYLATE, BENAZEPRIL HYDROCHLORIDE",,03/04/2025,New,ORAL,Amlodipine Besylate; Benazepril Hydrochloride Capsule,"898342, 898346, 898350, 898353, 898356, 898359",,99ed4927-9a34-4e8d-8eea-60b63c867d46,03/04/2025,HUMAN PRESCRIPTION DRUG,03/04/2025,Cardiovascular,AMLODIPINE AND BENAZEPRIL HYDROCHLORIDE,"65862-587, 65862-582, 65862-583, 65862-584, 65862-585, 65862-586",Aurobindo Pharma Limited,a45ec3e8-1d14-4c27-9685-976323df8cad,"65862-582-01, 65862-582-05, 65862-583-01, 65862-583-05, 65862-584-01, 65862-584-05, 65862-585-01, 65862-585-05, 65862-586-01, 65862-586-05, 65862-587-01, 65862-587-05","Amlodipine Besylate; Benazepril Hydrochloride, Capsule, 10 mg; 40 mg (NDC 65862-587-01)",Capsule,,,ANDA202239,,AMLODIPINE AND BENAZEPRIL HYDROCHLORIDE,,,To Be Discontinued,,,,"864V2Q084H, N1SN99T69T",65862-587-01,866-850-2876,
"Hospira, Inc., a Pfizer Company",DOBUTAMINE HYDROCHLORIDE,,11/06/2017,Revised,INTRAVENOUS,Dobutamine Hydrochloride Injection,"309985, 309986, 309987",,9943a961-3b50-4847-8a84-d8414ce38daa,08/15/2025,HUMAN PRESCRIPTION DRUG,,"Cardiovascular, Pediatric, Renal",DOBUTAMINE IN DEXTROSE,"0409-3724, 0409-2347, 0409-2346","Hospira, Inc.",2cd41f69-c1ea-44a0-9b56-b6f9d963f6a5,"0409-2347-31, 0409-2347-32, 0409-2346-31, 0409-2346-32, 0409-3724-11, 0409-3724-32","Dobutamine Hydrochloride In Dextrose 5% In Plastic Container, Injection, 1,000 mg/250mL (400 mg/mL) (NDC 0409-3724-32)",Injection,Unavailable,,NDA020201,,DOBUTAMINE IN DEXTROSE,,,Current,Demand increase for the drug,Next Delivery: November 2025; Estimated Recovery: December 2025,12/19/2024,0WR771DJXV,0409-3724-32,844-646-4398,
"Hospira, Inc., a Pfizer Company",LIDOCAINE HYDROCHLORIDE,,02/22/2012,Reverified,"INFILTRATION, INTRAVENOUS",Lidocaine Hydrochloride Injection,"1010033, 1010671, 1010900, 1737343, 1737562, 1737566, 1737568, 1737636, 1737757, 1737763",,3b2dd84e-cee8-4e58-d494-395a65a353a0,08/15/2025,HUMAN PRESCRIPTION DRUG,,"Anesthesia, Pediatric",LIDOCAINE HYDROCHLORIDE,"0409-4278, 0409-4713, 0409-4279, 0409-4776, 0409-4282, 0409-4277, 0409-4276, 0409-4275","Hospira, Inc.",c0b4635b-1473-4c48-89c6-620762cd687f,"0409-4713-12, 0409-4713-26, 0409-4713-02, 0409-4713-72, 0409-4713-62, 0409-4713-75, 0409-4713-65, 0409-4713-42, 0409-4713-25, 0409-4713-32, 0409-4278-16, 0409-4278-01, 0409-4279-16, 0409-4279-02, 0409-4776-10, 0409-4776-01, 0409-4282-11, 0409-4282-25, 0409-4282-01, 0409-4282-12, 0409-4282-02, 0409-4277-16, 0409-4277-01, 0409-4277-17, 0409-4277-02, 0409-4276-16, 0409-4276-01, 0409-4276-17, 0409-4276-02, 0409-4275-16, 0409-4275-01","Lidocaine Hydrochloride, Injection, 250 mg/50 mL (0.5%; 5 mg/mL) (NDC 0409-4278-01)",Injection,Available,,ANDA088328,,LIDOCAINE HYDROCHLORIDE,,,Current,,,,V13007Z41A,0409-4278-01,844-646-4398,
Granules Pharmaceuticals Inc.,"AMPHETAMINE ASPARTATE MONOHYDRATE, AMPHETAMINE SULFATE, DEXTROAMPHETAMINE SACCHARATE, DEXTROAMPHETAMINE SULFATE",,10/12/2022,Reverified,ORAL,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","541363, 541878, 541892, 577957, 577961, 687043, 1009145",,b0b4eccc-34c7-483d-966f-82d588358e1b,09/08/2025,HUMAN PRESCRIPTION DRUG,,Psychiatry,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE","70010-112, 70010-111, 70010-113, 70010-114, 70010-115, 70010-116, 70010-117",Granules Pharmaceuticals Inc.,2fab399e-2a43-5134-e063-6294a90ae09a,"70010-111-01, 70010-111-03, 70010-112-01, 70010-112-03, 70010-113-01, 70010-113-03, 70010-114-01, 70010-114-03, 70010-115-01, 70010-115-03, 70010-116-01, 70010-116-03, 70010-117-01, 70010-117-03","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 1.875 mg; 1.875 mg; 1.875 mg; 1.875 mg (NDC 70010-112-01)",Tablet,Available,,ANDA215771,,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",,,Current,,,,"O1ZPV620O4, 6DPV8NK46S, JJ768O327N, G83415V073",70010-112-01,877-770-3183,
"Sun Pharmaceutical Industries, Inc.",NALTREXONE HYDROCHLORIDE,,02/29/2024,Revised,ORAL,Naltrexone Hydrochloride Tablet,1483744,,0f30f885-d0cd-4fa6-a8e0-142f08a56792,09/22/2025,HUMAN PRESCRIPTION DRUG,,Analgesia/Addiction,NALTREXONE HYDROCHLORIDE,47335-326,"Sun Pharmaceutical Industries, Inc.",b0c2b60a-dc96-483b-933e-2fed58b64372,"47335-326-83, 47335-326-88, 47335-326-08, 47335-326-18","Naltrexone Hydrochloride, Tablet, 50 mg (NDC 47335-326-83)",Tablet,Limited Availability,,ANDA090356,,NALTREXONE HYDROCHLORIDE,,,Current,Other,Additional supply anticipated early 2026,,Z6375YW9SF,47335-326-83,800-818-4555,
"Spectra Medical Devices, LLC",SODIUM CHLORIDE,,06/21/2018,Revised,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS",Sodium Chloride 0.9% Injection,"1807637, 1807646",,7e316d21-d6ad-4976-bd90-268fd7e51361,08/08/2025,HUMAN PRESCRIPTION DRUG,,Other,SODIUM CHLORIDE,"65282-1505, 65282-1510","Spectra Medical Deviecs, LLC",0e649488-3951-382e-e063-6294a90a55c1,"65282-1510-1, 65282-1505-1","Sodium Chloride 0.9%, Injection, 9 mg/1 mL (NDC 65282-1505-1)",Injection,,,ANDA206171,,SODIUM CHLORIDE,,Available,Resolved,,,08/08/2025,451W47IQ8X,65282-1505-1,978-657-0889,
GlaxoSmithKline,DAPRODUSTAT,,11/21/2024,New,ORAL,Daprodustat Tablet,"2628215, 2628221, 2628223, 2628225, 2628227, 2628229, 2628231, 2628233, 2628235, 2628237",,d82aa06e-5a33-4844-99b7-4701313455a4,11/21/2024,HUMAN PRESCRIPTION DRUG,11/21/2024,Hematology,JESDUVROQ,"0173-0906, 0173-0897, 0173-0903, 0173-0911, 0173-0914",GlaxoSmithKline LLC,d52a823a-35bd-4c6a-a016-4b4f21a43d7d,"0173-0897-13, 0173-0897-56, 0173-0903-13, 0173-0903-56, 0173-0906-13, 0173-0906-56, 0173-0911-13, 0173-0911-56, 0173-0914-13, 0173-0914-56","Jesduvroq, Tablet, 4 mg (NDC 0173-0906-56)",Tablet,,"N0000194080, N0000194079",NDA216951,,DAPRODUSTAT,Hypoxia-inducible Factor Prolyl Hydroxylase Inhibitor [EPC],,To Be Discontinued,,Discontinuing for Business Reasons.,,JVR38ZM64B,0173-0906-56,888-825-5249,Hypoxia-Inducible Factor Prolyl Hydroxylase Inhibitors [MoA]
"Meitheal Pharmaceuticals, Inc.",FUROSEMIDE,Increased Diuresis at Loop of Henle [PE],04/07/2020,Reverified,"INTRAMUSCULAR, INTRAVENOUS",Furosemide Injection,"1719286, 1719290, 1719291",,a2e3c748-28ce-4c50-a182-721912919840,08/19/2025,HUMAN PRESCRIPTION DRUG,,Cardiovascular,FUROSEMIDE,71288-203,Meitheal Pharmaceuticals Inc.,78b32838-f75b-4aba-9b4b-9978f755fced,"71288-203-02, 71288-203-03, 71288-203-04, 71288-203-05, 71288-203-10, 71288-203-11","Furosemide, Injection, 10 mg/1 mL (NDC 71288-203-11)",Injection,Available,"N0000175366, N0000175590",ANDA212803,,FUROSEMIDE,Loop Diuretic [EPC],,Current,,,,7LXU5N7ZO5,71288-203-11,844-824-8426,
"EMD Serono, Inc.",LEVOTHYROXINE SODIUM,,07/10/2025,New,ORAL,Levothyroxine Sodium Tablet,"892246, 892251, 966153, 966160, 966166, 966173, 966177, 966182, 966187, 966196, 966202, 966207, 966220, 966221, 966222, 966224, 966225, 966248, 966249, 966253, 966270, 2104866",,bc3c6830-ba68-4ba3-9896-a12d0ad0b275,07/10/2025,HUMAN PRESCRIPTION DRUG,07/10/2025,Endocrinology/Metabolism,EUTHYROX,"72305-125, 72305-025, 72305-050, 72305-075, 72305-088, 72305-100, 72305-112, 72305-137, 72305-150, 72305-175, 72305-200","Provell Pharmaceuticals, LLC",45657074-8874-49f4-a8ef-3ca7e210c16e,"72305-025-30, 72305-025-90, 72305-050-30, 72305-050-90, 72305-075-30, 72305-075-90, 72305-088-30, 72305-088-90, 72305-100-30, 72305-100-90, 72305-112-30, 72305-112-90, 72305-125-30, 72305-125-90, 72305-137-30, 72305-137-90, 72305-150-30, 72305-150-90, 72305-175-30, 72305-175-90, 72305-200-30, 72305-200-90","Euthyrox, Tablet, 125 ug (NDC 72305-125-30)",Tablet,,,NDA021292,,LEVOTHYROXINE SODIUM,,,To Be Discontinued,,Discontinuation of the manufacture of the drug,,9J765S329G,72305-125-30,888-899-7041,
"Trigen Laboratories, LLC",METHYLPHENIDATE HYDROCHLORIDE,,07/26/2023,Reverified,ORAL,"Methylphenidate Hydrochloride Tablet, Extended Release",,,dd8d7b6e-c23d-4e16-bb53-959e9127ebc6,09/04/2025,HUMAN PRESCRIPTION DRUG,,Psychiatry,METHYLPHENIDATE HYDROCHLORIDE,"13811-711, 13811-700","Trigen Laboratories, LLC",ba649db4-df0d-4587-8370-3f866e66e54b,"13811-711-30, 13811-700-30","Methylphenidate Hydrochloride, Tablet, Extended Release, 45 mg (NDC 13811-711-30)",Tablet,Limited Availability,,NDA216117,,METHYLPHENIDATE HYDROCHLORIDE,,,Current,Demand increase for the drug,Allocation to current contracted customers,,4B3SC438HI,13811-711-30,800-541-4802,
Aurobindo Pharma USA,METOPROLOL TARTRATE,,06/03/2025,New,ORAL,Metoprolol Tartrate Tablet,"866511, 866514, 866924",,2b705cb6-cb75-4c2a-907a-4bd45d18bc2c,06/03/2025,HUMAN PRESCRIPTION DRUG,06/03/2025,Cardiovascular,METOPROLOL TARTRATE,"65862-064, 65862-062, 65862-063",Aurobindo Pharma Limited,d265c99d-8e77-4a78-b542-15e957d9d335,"65862-062-01, 65862-062-99, 65862-063-60, 65862-063-01, 65862-063-99, 65862-064-60, 65862-064-01, 65862-064-99","Metoprolol Tartrate, Tablet, 100 mg (NDC 65862-064-39)",Tablet,,,ANDA077739,,METOPROLOL TARTRATE,,,To Be Discontinued,,Permanent discontinuation in the manufacturing of the drug,,W5S57Y3A5L,65862-064-39,866-850-2876,
Piramal Critical Care Inc.,ROCURONIUM BROMIDE,,02/15/2023,Reverified,INTRAVENOUS,Rocuronium Bromide Injection,,,98255b70-51f9-8d16-e053-2995a90a8f97,09/18/2025,HUMAN PRESCRIPTION DRUG,,Anesthesia,ROCURONIUM,"66794-229, 66794-228",Piramal Critical Care Inc,3f9e12e4-d3c5-fba6-e063-6294a90a7fd6,"66794-229-02, 66794-229-41, 66794-228-02, 66794-228-41","Rocuronium Bromide, Injection, 100 mg/10 mL (NDC 66794-229-41)",Injection,Available,,ANDA210437,,ROCURONIUM,,,Current,,,,I65MW4OFHZ,66794-229-41,800-414-1901,
Pfizer Inc.,DOCETAXEL ANHYDROUS,Microtubule Inhibition [PE],06/24/2025,New,INTRAVENOUS,Docetaxel Injection,"1093280, 1860619",,00c61d11-d6b7-4618-b6f6-2592dbcc8af7,06/24/2025,HUMAN PRESCRIPTION DRUG,06/24/2025,Oncology,DOCETAXEL,"0409-2026, 0409-0016","Hospira, Inc.",8156a5f8-7002-479d-a08d-3c68f92c1396,"0409-2026-01, 0409-0016-01","Docetaxel, Injection, 20 mg/2 mL (10 mg/mL) Single Dose ONCO-TAIN™ Glass Fliptop Vial Novaplus®  (NDC 0409-2026-01)",Injection,,"N0000175085, N0000175592",NDA022234,,DOCETAXEL ANHYDROUS,Microtubule Inhibitor [EPC],,To Be Discontinued,,Discontinuation of the manufacture of the drug,,699121PHCA,0409-2026-01,844-646-4398,
